140,ep-15512,CCOCCCOC
141,ep-85352,CCCC(COC)OC
142,ep-125777,CCC(C)COC(C)C
143,ep-11671,COCC(C)(C)OC
144,ep-115816,CCCC(C)(C)OCC
145,ep-12075,COCCOC(C)C
146,ep-101261,CCC(C)C(C)(C)OC
147,ep-15378,CCOCC(C)(C)C
148,ep-71469,CCCC(CC)OCC
149,ep-12448,CCC(C)C(C)OC
150,ep-125856,CCCC(C)OCOC
151,ep-134288,CCCCOC(C)CC
152,ep-91999,COCCC(OC)OC
153,ep-15497,CCOCCC(C)C
154,ep-91924,CCC(OC)OCOC
155,ep-134557,CC(C)OCOC(C)C
156,ep-125464,CCOCCCCOC
157,ep-86924,CCOCCOCOC
158,ep-115977,COC(C)OC(C)(C)C
159,ep-11769,CCC(C)(OC)OC
160,ep-2302,CCC(C)COC
161,ep-92297,COC(C)OC(C)OC
162,ep-11978,CCOC(C)C(C)C
163,ep-12788,COC(C)(OC)OC
164,ep-2826,COCC(C)OC
165,ep-98242,COCCCCC(C)C
166,ep-11650,CCC(C)(CC)OC
167,ep-134769,CCCOCOCOC
168,ep-12509,CCCC(CC)OC
169,ep-71313,COC(C(C)C)C(C)C
170,ep-85371,CCOC(C)(C)COC
171,ep-115835,CCC(C)(C)OCOC
172,ep-85350,CCOC(CC)COC
173,ep-4149,COCCCOC
174,ep-71554,CCC(CC)OC(C)C
175,ep-122083,CCOC(C)CCOC
176,ep-125412,CCCCCOCOC
177,ep-74362,CCCC(C)(C)COC
178,ep-125243,COCOCCC(C)C
179,ep-283,COCOC
180,ep-95851,CCOCCC(C)(C)C
181,ep-1007,COCCOC
182,ep-13388,CCCC(OC)OC
183,ep-11917,CCC(C)OC(C)C
184,ep-134416,CCCCOCCCC
185,ep-71019,CCC(CC)(OC)OC
186,ep-125400,CCCCCOCCC
187,ep-122171,COCCCOC(C)C
188,ep-134686,CCCOC(OC)OC
189,ep-115813,CCC(C)(C)OC(C)C
190,ep-85255,CCCOCC(C)OC
191,ep-91988,CCCCC(OC)OC
192,ep-12439,COC(C)C(C)(C)C
193,ep-125780,CCCOCC(C)CC
194,ep-11989,CCCOC(C)CC
195,ep-2361,COCCC(C)C
196,ep-125392,COCCCC(C)OC
197,ep-98236,CCCCC(C)COC
198,ep-72901,CCC(COC)C(C)C
199,ep-11656,CCCC(C)(C)OC
200,ep-84791,COC(C)C(OC)OC
201,ep-15881,CCCOCOCC
202,ep-101420,CCOC(C)(C)C(C)C
203,ep-125184,CCOC(C)CC(C)C
204,ep-125225,COCCC(C)COC
205,ep-134270,CCC(C)OC(C)(C)C
206,ep-91881,CCCC(OC)OCC
207,ep-134736,CCCOC(C)OCC
208,ep-115858,COC(C)(C)CC(C)C
209,ep-97675,COC(C)CCC(C)C
210,ep-12564,CCCCC(C)OC
211,ep-133708,COCOC(OC)OC
212,ep-84611,CCC(OC)C(C)OC
213,ep-16873,COCC(C)C(C)C
214,ep-125866,CCC(C)COCOC
215,ep-16899,COCC(C)COC
216,ep-11584,CC(C)OC(C)(C)C
217,ep-71559,CCCOC(CC)CC
218,ep-96098,CCC(C)C(C)COC
219,ep-135536,CCOCOCOCC
220,ep-2743,CCOC(C)CC
221,ep-125766,CCCOC(C)CCC
222,ep-70758,CCCC(C)(CC)OC
223,ep-13003,CCCOC(C)OC
224,ep-223,CCOCC
225,ep-91877,CCC(OC)OC(C)C
226,ep-86709,COCCOC(C)OC
227,ep-133726,CCOC(C)OCOC
228,ep-15996,CCOCOCOC
229,ep-4216,CCCOCCC
230,ep-122089,CCOCCC(C)OC
231,ep-85250,CCOCC(CC)OC
232,ep-134716,CCOCOCC(C)C
233,ep-84524,CCOC(C)C(C)OC
234,ep-85379,CCCOC(C)COC
235,ep-98438,COCCCCCOC
236,ep-71480,CCCCC(CC)OC
237,ep-13009,CCOC(C)OCC
238,ep-12171,CCOCOC(C)C
239,ep-101274,CCCC(C)C(C)OC
240,ep-86642,COCCOC(C)(C)C
241,ep-15447,CCCCOCCC
242,ep-125810,CCCCOC(C)OC
243,ep-134523,CCOCOC(C)CC
244,ep-15387,CCOCC(C)CC
245,ep-2737,CCCC(C)OC
246,ep-91887,CCCOC(CC)OC
247,ep-15463,CCCOCCOC
248,ep-122080,COC(C)CC(C)OC
249,ep-101426,CCCOC(C)C(C)C
250,ep-101193,COCC(C)(C)COC
251,ep-2234,COC(C)C(C)C
252,ep-133725,CCOC(C)(OC)OC
253,ep-85746,CCOCC(OC)OC
254,ep-12468,COC(C)C(C)OC
255,ep-125232,CCCOCCC(C)C
256,ep-84930,CCOCC(C)(C)OC
257,ep-11645,COC(C)(C)C(C)C
258,ep-1071,CCOCOC
259,ep-134570,COCOCOC(C)C
260,ep-101493,COCOC(C)C(C)C
261,ep-11702,CCOC(C)(C)OC
262,ep-13112,COCOC(C)OC
263,ep-101143,COC(C)(C)C(C)(C)C
264,ep-133728,CCOCOC(C)OC
265,ep-72819,COCC(C)(C)C(C)C
266,ep-159,CCCOC
267,ep-3941,CCCCOCC
268,ep-125395,CCCCCOC(C)C
269,ep-115863,CCCCC(C)(C)OC
270,ep-122176,CCOCCCOCC
271,ep-101237,CCCOCC(C)(C)C
272,ep-71310,CCC(OC)C(C)(C)C
273,ep-15502,CCCCCOCC
274,ep-96093,CCC(C)CC(C)OC
275,ep-98247,CCCCCCCOC
276,ep-97694,CCOCCCC(C)C
277,ep-101473,COC(C)OCC(C)C
278,ep-2121,CCC(C)(C)OC
279,ep-15875,CCCCOCOC
280,ep-85346,COCC(OC)C(C)C
281,ep-3877,CCCCCOC
282,ep-549,CCOC(C)C
283,ep-508,CCC(C)OC
284,ep-5701,COCOCOC
285,ep-736,CCCCOC
286,ep-2957,COCOC(C)C
287,ep-896,COC(C)OC
288,ep-464,COCC(C)C
289,ep-4572,CCOC(C)OC
290,ep-29046,CC1CC(C)(C)CO1
291,ep-29468,COC1OCOC1C
292,ep-6101,CC1(C)COCO1
293,ep-185953,CCOC1COC(C)C1
294,ep-170109,CCC1COCC(C)C1
295,ep-253448,COC1COC(C)OC1
296,ep-205680,CC1CCC(C)C(C)O1
297,ep-8039,CC1COCCO1
298,ep-253720,COCC1CC(C)CO1
299,ep-156882,COC1(C)CCOC1C
300,ep-155111,CC1COC(C(C)C)C1
301,ep-207218,CC(C)C1OCOCO1
302,ep-32795,COCC1OCCO1
303,ep-171690,CCCC1COCOC1
304,ep-275520,CCOC1OCC(C)O1
305,ep-196115,COC1COC(C)(C)C1
306,ep-198083,COC1COC(OC)C1
307,ep-197738,CCOC1CC(C)CO1
308,ep-154754,COC1CCCC1(C)C
309,ep-207071,CC1OCC(C(C)C)O1
310,ep-254296,CCOCC1OCCO1
311,ep-187053,CC1CC(C)OC(C)O1
312,ep-205116,COC1OCCC1(C)C
313,ep-259300,CC(C)OC1CCCO1
314,ep-251678,CC1COC(C)C(C)O1
315,ep-156633,CCCC1CCOCO1
316,ep-259435,COC1CC(C)CCO1
317,ep-38391,CCOC1OCCO1
318,ep-207043,CCC1OCC(C)(C)O1
319,ep-33204,COC1CCOCO1
320,ep-253667,CCOC1COCOC1
321,ep-26798,COC1(C)CCOC1
322,ep-32371,CC1OCOC(C)O1
323,ep-187125,CCC1OCCC(C)O1
324,ep-156605,CCC1CCCC(C)O1
325,ep-156788,CCC1CCC(C)CO1
326,ep-171179,CCC1COCC1OC
327,ep-156785,CCCCC1CCCO1
328,ep-156601,CCOC1CCC(C)C1
329,ep-206754,CC1CC(C)(C)OC1C
330,ep-267136,CCOC1(C)CCCO1
331,ep-246884,COCOC1COCO1
332,ep-252627,CCC1OCOC1OC
333,ep-185969,COC(C)C1COCO1
334,ep-259433,CCC1COC(OC)C1
335,ep-186183,COC1CCOC(C)O1
336,ep-251706,COC(C)C1CCCO1
337,ep-165847,CC1COC(C)C1(C)C
338,ep-6637,CC1COC(C)C1
339,ep-32369,COC1COC(C)O1
340,ep-32631,CCC1OCCCO1
341,ep-185891,COCC1OCOC1C
342,ep-252478,COC1OCCOC1C
343,ep-27200,COC1(C)COCO1
344,ep-32945,CC1COC(C)OC1
345,ep-157711,CCC1CCC(C)(C)O1
346,ep-186956,COC1CCOC1OC
347,ep-186105,COCCC1OCCO1
348,ep-253620,COC1COCC(C)O1
349,ep-185903,COCCC1COCO1
350,ep-205786,COC1COCCC1C
351,ep-271142,COCCC1CCCC1
352,ep-259270,CC1CC(C)C(C)CO1
353,ep-187438,CC1OCC(C)C(C)O1
354,ep-271674,CCOC1CCCCO1
355,ep-157686,CCC1(CC)CCCO1
356,ep-29282,CC(C)C1COCO1
357,ep-253699,CC(C)C1COCCO1
358,ep-154757,CC(C)(C)C1CCCO1
359,ep-187821,CC1OCCC(C)(C)O1
360,ep-157678,CCC1(C)CCC(C)O1
361,ep-26483,CC1OCC(C)(C)O1
362,ep-28133,CC1CCOC(C)O1
363,ep-32943,COC1CC(C)CO1
364,ep-156704,CCCC1CC(C)CO1
365,ep-165837,CC1(C)COCC1(C)C
366,ep-166273,COC1(C)COCC1C
367,ep-157704,CCC1OC(C)OC1C
368,ep-205865,CCC(C)C1OCCO1
369,ep-207024,CC1(C)COC(C)(C)O1
370,ep-196957,CCCC1COC(C)O1
371,ep-156482,COC1CC(C)OC1C
372,ep-207074,COC1CCC(C)CO1
373,ep-28060,CC1CC(C)C(C)O1
374,ep-189246,CCOC1OCCCO1
375,ep-33205,CCC1OCOCO1
376,ep-271173,CCCC1CCOCC1
377,ep-205019,CC1OCCCC1(C)C
378,ep-244264,CC1CCC(C)(C)OC1
379,ep-154880,CCC1OCC(C)C1C
380,ep-30707,COC1CCCC1C
381,ep-186580,COC1COCC1OC
382,ep-280026,CC1COCCC1(C)C
383,ep-6535,CCC1CCOC1
384,ep-32754,COC1COCCO1
385,ep-253710,CCC1COCC(C)O1
386,ep-187087,CC1CCOC(C)(C)O1
387,ep-196118,COC1COCC(C)C1
388,ep-154734,CCC1(C)OCCC1C
389,ep-26982,CC1COC(C)(C)O1
390,ep-157884,COCOC1CCCC1
391,ep-156706,COC1CC(C)C(C)C1
392,ep-274931,COC1OCOC(C)O1
393,ep-156534,COC1CCOC(C)C1
394,ep-253546,CCOC1CCCOC1
395,ep-170129,COCC1CCOCC1
396,ep-205923,COC1OC(C)CC1C
397,ep-280341,CCC1CCOCC1C
398,ep-157819,CCC1(C)OCOC1C
399,ep-274915,COC1(OC)OCCO1
400,ep-156503,COC1CCC(C)(C)C1
401,ep-40148,COCC1CCCC1
402,ep-31032,COC1CCOCC1
403,ep-28495,CCC1CCCCO1
404,ep-244247,CC1CCOC(C)(C)C1
405,ep-9458,CC1OCOCO1
406,ep-171601,COCC1(C)CCOC1
407,ep-269273,CC(C)C1CCOCC1
408,ep-26474,CC1CCC(C)(C)O1
409,ep-1879,C1COCCO1
410,ep-254223,COC1COC(C)(C)O1
411,ep-157010,CCOC1CCOCC1
412,ep-166880,CCCC1COCC1C
413,ep-32626,COC1OCCC1C
414,ep-27092,COC1(C)CCCO1
415,ep-205064,CC1CC(C)(C)C(C)O1
416,ep-187451,CC1COC(C)(C)OC1
417,ep-254450,CCCOC1COCO1
418,ep-205542,CC1COCC(C)(C)C1
419,ep-207135,CC1(C)OCOC1(C)C
420,ep-154886,CCC(C)C1CCCO1
421,ep-170801,CCCC1(C)CCOC1
422,ep-37676,CCC1(C)CCOC1
423,ep-259547,COC1CCCC(C)O1
424,ep-37645,CC1COCC1(C)C
425,ep-156502,CCC1CC(C)(C)CO1
426,ep-244283,CC1CC(C)(C)OCO1
427,ep-38067,CC1(C)CCOCC1
428,ep-28062,CCC1CCC(C)O1
429,ep-40892,COC1OCOCO1
430,ep-167631,COC1OCC(C)C1C
431,ep-186460,COCC1(C)COCO1
432,ep-152292,CCC1(OC)CCCO1
433,ep-188359,COC1(C)OCCCO1
434,ep-275550,CCOC1CCC(C)O1
435,ep-196958,CCCC1COCCO1
436,ep-278984,COC1CCC(OC)O1
437,ep-166627,CCC1C(C)COC1C
438,ep-205644,CC1OCOC(C)C1C
439,ep-156504,CC(C)CC1CCCO1
440,ep-259434,COC1(C)OCCC1C
441,ep-31759,COC1(C)OCCO1
442,ep-262285,CC(C)C1(C)OCCO1
443,ep-29317,CCC1CCOCO1
444,ep-170184,CCC1CCC(C)OC1
445,ep-156493,COC1CCCOC1C
446,ep-32688,CCCC1OCCO1
447,ep-28127,CCC1COC(C)O1
448,ep-166617,COCC1CCCC1C
449,ep-235788,COC1(OC)CCCO1
450,ep-28188,CCC1OCC(C)O1
451,ep-186519,COCC1COC(C)O1
452,ep-188867,COC1OCC(C)CO1
453,ep-205171,CC(C)(C)C1OCCO1
454,ep-171687,COCC1COC(C)C1
455,ep-166451,CC1COCOC1(C)C
456,ep-171252,CCCC1COC(C)C1
457,ep-156610,CCCC1CCCCO1
458,ep-246922,COC1COCOC1C
459,ep-156599,CCC1CC(C)C(C)O1
460,ep-38353,COC1OCCCO1
461,ep-157680,CCOC1(C)CCCC1
462,ep-26593,CC1(C)CCOCO1
463,ep-152295,COC1(OC)CCCC1
464,ep-196098,CCCC1(C)COCO1
465,ep-155020,CCOC1CCCC1C
466,ep-166628,CC(C)C1CCOC1C
467,ep-152298,CCC1(CC)OCCO1
468,ep-207073,COC1(C)CC(C)CO1
469,ep-170057,COCC1(C)CCCC1
470,ep-7868,CC1CCC(C)O1
471,ep-251863,COC1OC(C)C(C)O1
472,ep-28564,CC1CCC(C)OC1
473,ep-244458,COC1OCC(C)(C)O1
474,ep-28436,CC(C)C1CCCO1
475,ep-253224,COC1(OC)CCOC1
476,ep-154816,COC1C(C)COC1C
477,ep-6939,CC1COCOC1
478,ep-186101,CCOC1CCOCO1
479,ep-9006,COC1CCCO1
480,ep-246920,COCC1CCOCO1
481,ep-165840,CC(C)C1(C)CCOC1
482,ep-26787,COC1(C)CCCC1
483,ep-154738,COC1(C)CCCC1C
484,ep-253226,CCOC1(C)COCO1
485,ep-6013,CC1(C)CCCO1
486,ep-188431,CC(C)C1OCCCO1
487,ep-37917,CCC1COCC1C
488,ep-275674,CCC1OCOC(C)O1
489,ep-255095,CCC1COC(CC)O1
490,ep-170113,COCC1CCCCC1
491,ep-156783,CCC1CCC(OC)C1
492,ep-28803,COC1CCOC1C
493,ep-154777,COC1CCOC1(C)C
494,ep-26509,CC1(C)CCCCO1
495,ep-254298,CCC1OCC(OC)O1
496,ep-154892,CCC1CCCC1OC
497,ep-242872,CCCC1(C)CCCO1
498,ep-28512,CCC1COCCO1
499,ep-154820,CC(C)C1OCOC1C
500,ep-170009,CCC1CCCOC1C
501,ep-205525,CC1(C)COC(C)(C)C1
502,ep-27095,CC1(C)OCCCO1
503,ep-259598,CCC1COC(OC)O1
504,ep-271672,COCCC1CCOC1
505,ep-28614,CCC1CCOC1C
506,ep-29164,COC1OCC(C)O1
507,ep-6572,CC1CCOCC1
508,ep-274934,COCOC1OCCO1
509,ep-244241,CC1CCCC(C)(C)O1
510,ep-205211,CC1CCC(C)(C)CO1
511,ep-246924,CCOC1COCCO1
512,ep-154776,CCC1OCOC1(C)C
513,ep-28513,CCOC1CCOC1
514,ep-29469,COCC1COCO1
515,ep-185896,COC1CC(C)OCO1
516,ep-251757,CCC1OC(C)C(C)O1
517,ep-157167,CCC1CC(OC)CO1
518,ep-31460,COC1COCOC1
519,ep-205029,COC1COCC1(C)C
520,ep-29372,CC1CC(C)OCO1
521,ep-254428,COCC1OCCCO1
522,ep-7658,COC1CCCC1
523,ep-37646,CC1COCC(C)C1
524,ep-205695,CCC(C)C1COCO1
525,ep-154896,COC1CCCCC1C
526,ep-38129,COCC1CCOC1
527,ep-7852,CC1CCCCO1
528,ep-156510,COC1CCCC(C)C1
529,ep-262273,CCC1(C)OCC(C)O1
530,ep-253118,COC1(C)COC(C)O1
531,ep-166768,CCC1COCC1CC
532,ep-37679,CCC1CCCOC1
533,ep-8044,CC1COC(C)O1
534,ep-205863,CCOC1OCCC1C
535,ep-157171,COCCC1CCCO1
536,ep-28079,CC1COCC(C)O1
537,ep-186441,CCOC1COCC1C
538,ep-6638,CC1CCCOC1
539,ep-28616,CCCC1CCCO1
540,ep-38085,CCCC1CCOC1
541,ep-154742,CC(C)C1(C)CCCO1
542,ep-29370,CCCC1COCO1
543,ep-246929,COCC1OCOCO1
544,ep-31023,COC1CCCCC1
545,ep-155043,CC(C)C1CCOCO1
546,ep-252902,COC1(C)COCOC1
547,ep-28620,CC1CCOC(C)C1
548,ep-278995,CCCCC1OCCO1
549,ep-29061,CCC1COC(C)C1
550,ep-1361,CC1CCOC1
551,ep-274935,CCOC1OCOCO1
552,ep-205619,CC1COC(C)(C)C1C
553,ep-26522,CC1(C)COCCO1
554,ep-171295,CCCCC1CCOC1
555,ep-37630,CC1(C)CCCOC1
556,ep-252476,COC1OC(C)OC1C
557,ep-165843,CC1CCOCC1(C)C
558,ep-275663,CCCOC1OCCO1
559,ep-6359,CC1CCOC1C
560,ep-253225,COCC1(C)OCCO1
561,ep-196122,CC(C)CC1COCO1
562,ep-253013,COCC1(C)CCCO1
563,ep-28435,CC1OCCC1(C)C
564,ep-166622,CC(C)C1CCCOC1
